region_code,region_name,region_type,cluster
5115000000,강원특별자치도 강릉시,균형 관리형,3
5182000000,강원특별자치도 고성군,고령층 교통취약형,0
5117000000,강원특별자치도 동해시,시설·행사 부족형,2
5123000000,강원특별자치도 삼척시,교통 취약형,1
5121000000,강원특별자치도 속초시,교통 취약형,2
5180000000,강원특별자치도 양구군,고령층 교통취약형,2
5183000000,강원특별자치도 양양군,고령층 교통취약형,0
5175000000,강원특별자치도 영월군,고령층 교통취약형,1
5113000000,강원특별자치도 원주시,균형 관리형,1
5181000000,강원특별자치도 인제군,고령층 교통취약형,2
5177000000,강원특별자치도 정선군,고령층 교통취약형,2
5178000000,강원특별자치도 철원군,고령층 교통취약형,2
5111000000,강원특별자치도 춘천시,균형 관리형,1
5119000000,강원특별자치도 태백시,시설·행사 부족형,2
5176000000,강원특별자치도 평창군,고령층 교통취약형,0
5172000000,강원특별자치도 홍천군,고령층 교통취약형,0
5179000000,강원특별자치도 화천군,고령층 교통취약형,0
5173000000,강원특별자치도 횡성군,고령층 교통취약형,2
4182000000,경기도 가평군,고령층 교통취약형,2
4128100000,경기도 고양시 덕양구,시설·행사 부족형,0
4128500000,경기도 고양시 일산동구,시설·행사 부족형,0
4128700000,경기도 고양시 일산서구,시설·행사 부족형,2
4129000000,경기도 과천시,균형 관리형,1
4121000000,경기도 광명시,균형 관리형,3
4161000000,경기도 광주시,시설·행사 부족형,3
4131000000,경기도 구리시,균형 관리형,1
4141000000,경기도 군포시,시설·행사 부족형,2
4157000000,경기도 김포시,시설·행사 부족형,3
4125000000,경기도 동두천시,시설·행사 부족형,2
4119400000,경기도 부천시 소사구,고령층 교통취약형,0
4119600000,경기도 부천시 오정구,고령층 교통취약형,2
4119200000,경기도 부천시 원미구,시설·행사 부족형,0
4113500000,경기도 성남시 분당구,시설·행사 부족형,3
4113100000,경기도 성남시 수정구,시설·행사 부족형,0
4113300000,경기도 성남시 중원구,고령층 교통취약형,2
4111300000,경기도 수원시 권선구,시설·행사 부족형,2
4111700000,경기도 수원시 영통구,시설·행사 부족형,2
4111100000,경기도 수원시 장안구,시설·행사 부족형,2
4111500000,경기도 수원시 팔달구,시설·행사 부족형,0
4139000000,경기도 시흥시,시설·행사 부족형,3
4127300000,경기도 안산시 단원구,시설·행사 부족형,2
4127100000,경기도 안산시 상록구,시설·행사 부족형,3
4155000000,경기도 안성시,균형 관리형,1
4117300000,경기도 안양시 동안구,시설·행사 부족형,2
4117100000,경기도 안양시 만안구,고령층 교통취약형,2
4163000000,경기도 양주시,시설·행사 부족형,3
4183000000,경기도 양평군,고령층 교통취약형,2
4167000000,경기도 여주시,균형 관리형,1
4180000000,경기도 연천군,고령층 교통취약형,2
4137000000,경기도 오산시,균형 관리형,1
4146300000,경기도 용인시 기흥구,시설·행사 부족형,0
