source_path,serviceName,seq,title,startDate,endDate,place,realmName,area,sigungu,thumbnail,gpsX,gpsY
period2,전시,246265,개방 수장고 개편,20201203,20261231,국립현대미술관 청주관,전시,충북,청주시,http://www.culture.go.kr/upload/rdf/23/05/show_202305231185612403.jpg,127.48991744317918,36.65544975133425
period2,공연,204025,늘근도둑이야기,20220305,20261231,아트포레스트 1관,연극,서울,종로구,http://www.culture.go.kr/upload/rdf/25/09/show_2025092617561683206.jpg,127.00309074973019,37.58248538026813
period2,전시,301234,기록으로 산책하기_서울의 공원,20231201,20260929,서울문화재단 본관,전시,서울,동대문구,http://www.culture.go.kr/upload/rdf/24/12/rdf_202412022124560550.jpg,127.03365593028,37.5715155220984
period2,전시,268367,전화기로 보는 전기통신의 역사,20240101,20260101,폰박물관,전시,경기,여주시,http://www.culture.go.kr/upload/rdf/24/02/show_202402214303006810.png,127.66630312345728,37.29365902835018
period2,전시,295604,숲의 멜로디,20240101,20260101,화성어린이복합문화센터 아이누리극장,전시,경기,화성시,http://www.culture.go.kr/upload/rdf/24/10/rdf_2024103021232371458.jpg,126.960801928149,37.2123338652106
period2,전시,295982,공룡AR트릭아트전,20240101,20261231,화성어린이복합문화센터 아이누리극장,전시,경기,화성시,http://www.culture.go.kr/upload/rdf/24/11/rdf_2024110121225855972.jpg,126.960801928149,37.2123338652106
period2,전시,269031,국립중앙박물관 기증관 재개관,20240112,20261231,국립중앙박물관,전시,서울,용산구,http://www.culture.go.kr/upload/rdf/24/02/show_2024021315381220366.png,126.98023689950804,37.52406305836529
period2,전시,269045,몬순으로 열린 세계: 동남아시아의 항구도시,20240130,20260201,국립아시아문화전당 문화정보원,전시,광주,동구,http://www.culture.go.kr/upload/rdf/24/02/show_202402131328018227.jpg,126.92005723156174,35.14704938925195
period2,전시,300722,의義로움으로 나라를 위해 일어난 사람들,20240531,20260531,호남호국기념관,전시,전남,순천시,http://www.culture.go.kr/upload/rdf/24/11/show_2024112916292810057.jpg,127.521381143829,34.9359616353105
period2,공연,323650,연극 행오버,20250101,20261231,"정극장 (구. M시어터, 구.하모니아트홀)",연극,서울,종로구,http://www.culture.go.kr/upload/rdf/25/05/show_2025051416144383133.jpg,127.0039624208614,37.58099871475106
period2,교육/체험,342884,2025 청운문학도서관 지역동아리 모집,20250113,20260131,청운문학도서관한옥열람실,교육/체험,서울,종로구,http://www.culture.go.kr/upload/ucms/oneCltInfo/2025/202512/63198818c40a4a068d3f1b4d066b73ed.png,,
period2,전시,306759,계속 변화한다. 모든 것은 연결된다. 영원히 계속된다.,20250114,20260125,대구미술관,전시,대구,수성구,http://www.culture.go.kr/upload/rdf/25/01/show_202501151713269670.jpg,128.6743400801662,35.82702476034021
period2,전시,309531,바람 빛 물결 Wind Light Wave,20250207,20260315,전남도립미술관,전시,전남,광양시,http://www.culture.go.kr/upload/rdf/25/02/show_2025021216501707109.jpg,127.58885129381345,34.96769918650398
period2,전시,311670,2025 야외컨테이너전 [SHOW CON],20250225,20260118,오산시립미술관,전시,경기,오산시,http://www.culture.go.kr/upload/rdf/25/02/rdf_202502272153992188.jpg,127.07698043778016,37.16026452230766
period2,전시,315929,《생이 깃든 소나무》,20250226,20260630,성북구립미술관,전시,서울,성북구,http://www.culture.go.kr/upload/rdf/25/03/rdf_202503282154267987.jpg,126.99488186959195,37.59482890788785
period2,전시,341122,2025년 박물관 미술관 주간 「뮤지엄&times;만나다」 - 큰이빨부리고래 전신 골격,20250301,20261231,부산해양자연사박물관,전시,부산,동래구,http://www.culture.go.kr/upload/ucms/oneCltInfo/2026/202602/aa3635af7dad4cc3b4fac2820f853df3.png,129.075839921274,35.2218081163841
period2,공연,311360,[대학로] 써니텐,20250307,20260430,JTN 아트홀(구. 대학로예술마당) 1관,뮤지컬/오페라,서울,종로구,http://www.culture.go.kr/upload/ucms/oneCltInfo/2026/202603/99c49cbb84a74271b25842636c76233b.gif,127.00392822814803,37.57663790460003
period2,공연,335805,대학로 우리말 오페라 세비야의 이발사 공연,20250314,20260304,유니플렉스 3관(소극장),뮤지컬/오페라,서울,종로구,http://www.culture.go.kr/upload/rdf/25/07/show_2025072314115894673.jpg,127.00367090852491,37.58117441795211
period2,전시,315011,2025 소장품기획상설전 비(飛)물질: 표현과 생각 사이의 틈,20250320,20260628,경기도미술관,전시,경기,안산시,http://www.culture.go.kr/upload/rdf/25/03/show_202503241813330955.jpg,126.81407640381597,37.32580289466538
period2,공연,321400,[대구] 첼리스트 이명로 하우스 콘서트: 보이지 않는 정상을 향해,20250404,20260424,어연히하우스,음악/콘서트,대구,남구,http://www.culture.go.kr/upload/rdf/25/04/rdf_2025042821374059182.gif,128.5834116,35.8557069
period2,전시,319456,박수근작고 60주기 소장품 특별전《봄이오다 : 정림리에서 전농동까지》,20250408,20260302,양구군립 박수근미술관,전시,강원,양구군,http://www.culture.go.kr/upload/ucms/oneCltInfo/2026/202601/21897ca9d10d49e880575bc4d148e723.png,127.98169771414179,38.0963564079577
period2,전시,315928,"산화코발트, 기증품에 스며든 푸른빛",20250408,20260628,국립부여박물관,전시,충남,부여군,http://www.culture.go.kr/upload/rdf/25/03/show_2025033111174756864.png,126.91910503507899,36.27642510908042
period2,전시,316545,[백남준아트센터] 전지적 백남준 시점,20250410,20260222,백남준아트센터,전시,경기,용인시,http://www.culture.go.kr/upload/rdf/25/04/show_202504012248043150.png,127.11037318643987,37.26927634736376
period2,전시,321668,[전시회] 유동룡미술관 세 번째 기획 전시 [미묘하게 열린 어둠 안에서 : 이타미 준],20250415,20260329,제주문화예술재단,전시,제주,제주시,http://www.culture.go.kr/upload/rdf/25/04/rdf_2025042921413399424.jpg,126.53401626914031,33.5031765885966
period2,전시,319540,네가 4시에 온다면 난 3시부터 행복할 거야,20250415,20260222,수원시립미술관,전시,경기,수원시,http://www.culture.go.kr/upload/rdf/25/04/show_2025041714295062984.jpg,127.01586583721596,37.28265312084571
period2,교육/체험,325790,《우리는 지구별 친구들》전시 연계 - 상설 체험 프로그램,20250417,20261231,경기도어린이박물관,교육/체험,,,http://www.culture.go.kr/upload/rdf/25/05/rdf_2025052621214824947.jpg,127.1096573598879,37.2673983419378
period2,전시,320900,"오백장군갤러리 홍정표, 현용준 기록사진전《섬의 시간, 삶의 기억》",20250419,20260223,오백장군갤러리,전시,제주,제주시,http://www.culture.go.kr/upload/rdf/25/04/rdf_2025042521432632484.jpg,126.66063982931932,33.44627328817981
period2,전시,358044,아기벌레의 여행 - 시메트리 행성으로,20250422,20260118,창원시립마산문신미술관,전시,경남,창원시,http://www.culture.go.kr/upload/rdf/25/11/rdf_2025112121243312629.jpg,128.5689782050479,35.20631542079396
period2,전시,369569,문신연대기 Moon Shin Chronology,20250422,20260830,창원시립마산문신미술관,전시,경남,창원시,http://www.culture.go.kr/upload/ucms/oneCltInfo/2026/202602/a3d9cfc3367f471abe33d2f7fdb32627.jpg,128.5689782050479,35.20631542079396
period2,전시,320595,양구군립박수근미술관 어린이미술관 특별전《멍멍야옹야옹짹짹짹-박형진》展,20250422,20260412,양구군립 박수근미술관,전시,강원,양구군,http://www.culture.go.kr/upload/rdf/25/04/show_2025042317192836450.png,127.98169771414179,38.0963564079577
period2,전시,325772,2025년 독도박물관 특별전시회 &#39;어부지용&#39;,20250501,20260430,독도박물관,전시,경북,울릉군,http://www.culture.go.kr/upload/rdf/25/05/show_2025052710511794399.jpg,130.900879440631,37.48341291026794
