"행정구역","2026년05월_계_총인구수","2026년05월_계_연령구간인구수","2026년05월_계_0~9세","2026년05월_계_10~19세","2026년05월_계_20~29세","2026년05월_계_30~39세","2026년05월_계_40~49세","2026년05월_계_50~59세","2026년05월_계_60~69세","2026년05월_계_70~79세","2026년05월_계_80~89세","2026년05월_계_90~99세","2026년05월_계_100세 이상","2026년05월_남_총인구수","2026년05월_남_연령구간인구수","2026년05월_남_0~9세","2026년05월_남_10~19세","2026년05월_남_20~29세","2026년05월_남_30~39세","2026년05월_남_40~49세","2026년05월_남_50~59세","2026년05월_남_60~69세","2026년05월_남_70~79세","2026년05월_남_80~89세","2026년05월_남_90~99세","2026년05월_남_100세 이상","2026년05월_여_총인구수","2026년05월_여_연령구간인구수","2026년05월_여_0~9세","2026년05월_여_10~19세","2026년05월_여_20~29세","2026년05월_여_30~39세","2026년05월_여_40~49세","2026년05월_여_50~59세","2026년05월_여_60~69세","2026년05월_여_70~79세","2026년05월_여_80~89세","2026년05월_여_90~99세","2026년05월_여_100세 이상"
"서울특별시  (1100000000)","9,295,082","9,295,082","454,209","717,591","1,235,814","1,469,331","1,355,855","1,462,755","1,318,017","848,552","373,053","58,443","1,462","4,475,263","4,475,263","233,356","365,613","576,464","733,823","670,066","718,664","625,782","381,914","152,333","16,932","316","4,819,819","4,819,819","220,853","351,978","659,350","735,508","685,789","744,091","692,235","466,638","220,720","41,511","1,146"
"서울특별시 종로구 (1111000000)","136,518","136,518","4,996","9,127","19,942","19,932","17,988","22,532","20,994","12,814","6,891","1,263","39","65,362","65,362","2,577","4,448","9,211","9,953","8,636","11,024","10,448","5,936","2,714","402","13","71,156","71,156","2,419","4,679","10,731","9,979","9,352","11,508","10,546","6,878","4,177","861","26"
"서울특별시 중구 (1114000000)","117,765","117,765","4,830","5,850","15,491","21,274","16,127","17,747","17,798","11,729","5,847","1,047","25","56,536","56,536","2,456","2,924","6,908","10,594","8,078","8,889","8,785","5,397","2,224","275","6","61,229","61,229","2,374","2,926","8,583","10,680","8,049","8,858","9,013","6,332","3,623","772","19"
"서울특별시 용산구 (1117000000)","199,810","199,810","9,717","12,607","25,671","36,975","28,840","31,475","27,932","16,391","8,494","1,649","59","94,881","94,881","4,924","6,389","11,329","17,955","14,214","15,231","13,647","7,431","3,238","503","20","104,929","104,929","4,793","6,218","14,342","19,020","14,626","16,244","14,285","8,960","5,256","1,146","39"
"서울특별시 성동구 (1120000000)","274,694","274,694","15,640","17,242","37,362","48,358","39,477","42,656","38,561","22,754","10,955","1,658","31","132,408","132,408","8,004","8,487","17,745","23,741","19,797","20,837","18,862","10,239","4,249","441","6","142,286","142,286","7,636","8,755","19,617","24,617","19,680","21,819","19,699","12,515","6,706","1,217","25"
"서울특별시 광진구 (1121500000)","331,136","331,136","13,317","22,871","54,339","57,020","45,812","50,693","45,957","27,265","11,941","1,874","47","158,341","158,341","6,799","11,524","24,727","28,334","22,396","24,597","22,061","12,364","4,993","533","13","172,795","172,795","6,518","11,347","29,612","28,686","23,416","26,096","23,896","14,901","6,948","1,341","34"
"서울특별시 동대문구 (1123000000)","352,299","352,299","17,847","23,376","55,573","55,964","48,321","52,683","48,945","31,999","15,307","2,232","52","171,585","171,585","9,118","11,800","25,931","28,364","24,688","26,464","23,950","14,504","6,076","679","11","180,714","180,714","8,729","11,576","29,642","27,600","23,633","26,219","24,995","17,495","9,231","1,553","41"
"서울특별시 중랑구 (1126000000)","376,463","376,463","16,233","22,936","44,178","59,235","50,321","60,932","64,448","39,108","16,634","2,377","61","183,671","183,671","8,257","11,760","20,737","30,122","26,182","30,100","31,211","17,919","6,718","655","10","192,792","192,792","7,976","11,176","23,441","29,113","24,139","30,832","33,237","21,189","9,916","1,722","51"
"서울특별시 성북구 (1129000000)","422,190","422,190","21,103","34,115","62,131","57,100","59,101","70,356","58,570","37,992","18,745","2,906","71","201,401","201,401","10,906","17,090","28,836","28,517","29,163","34,440","27,597","16,685","7,316","836","15","220,789","220,789","10,197","17,025","33,295","28,583","29,938","35,916","30,973","21,307","11,429","2,070","56"
"서울특별시 강북구 (1130500000)","278,294","278,294","9,384","17,756","33,641","34,338","35,854","48,198","47,758","32,870","16,258","2,192","45","133,729","133,729","4,777","8,996","15,523","18,010","18,713","23,850","22,739","14,160","6,299","652","10","144,565","144,565","4,607","8,760","18,118","16,328","17,141","24,348","25,019","18,710","9,959","1,540","35"
"서울특별시 도봉구 (1132000000)","298,571","298,571","11,464","20,982","32,501","37,126","39,133","51,438","53,325","34,108","15,972","2,451","71","144,013","144,013","5,958","10,897","15,887","19,079","19,684","24,745","24,986","15,660","6,409","690","18","154,558","154,558","5,506","10,085","16,614","18,047","19,449","26,693","28,339","18,448","9,563","1,761","53"
"서울특별시 노원구 (1135000000)","481,589","481,589","22,468","43,764","60,170","61,561","68,066","82,780","72,351","45,920","20,828","3,597","84","230,173","230,173","11,563","22,574","30,200","31,145","32,642","39,697","33,508","20,226","7,666","938","14","251,416","251,416","10,905","21,190","29,970","30,416","35,424","43,083","38,843","25,694","13,162","2,659","70"
"서울특별시 은평구 (1138000000)","453,398","453,398","19,837","33,145","54,686","66,960","63,682","76,204","69,147","45,009","21,508","3,145","75","214,279","214,279","10,240","16,821","25,381","32,599","31,409","36,634","32,116","19,544","8,570","943","22","239,119","239,119","9,597","16,324","29,305","34,361","32,273","39,570","37,031","25,465","12,938","2,202","53"
"서울특별시 서대문구 (1141000000)","300,236","300,236","14,864","21,833","44,642","45,432","41,678","47,417","41,918","26,262","13,873","2,262","55","141,438","141,438","7,620","10,781","20,125","22,293","20,498","22,905","19,774","11,414","5,329","687","12","158,798","158,798","7,244","11,052","24,517","23,139","21,180","24,512","22,144","14,848","8,544","1,575","43"
"서울특별시 마포구 (1144000000)","356,856","356,856","17,942","25,688","53,819","64,651","54,121","55,794","42,694","26,118","13,666","2,313","50","165,653","165,653","9,211","12,829","23,153","30,338","26,042","26,952","20,152","11,072","5,194","700","10","191,203","191,203","8,731","12,859","30,666","34,313","28,079","28,842","22,542","15,046","8,472","1,613","40"
"서울특별시 양천구 (1147000000)","422,070","422,070","22,300","45,670","45,151","51,578","68,662","71,184","62,347","38,639","14,182","2,293","64","205,328","205,328","11,466","23,579","22,513","25,633","32,991","35,204","29,639","17,991","5,733","570","9","216,742","216,742","10,834","22,091","22,638","25,945","35,671","35,980","32,708","20,648","8,449","1,723","55"
"서울특별시 강서구 (1150000000)","548,622","548,622","26,163","39,777","69,924","96,591","81,276","80,990","78,760","51,605","20,016","3,424","96","261,856","261,856","13,431","20,317","31,059","47,983","40,883","39,665","36,212","23,305","8,079","908","14","286,766","286,766","12,732","19,460","38,865","48,608","40,393","41,325","42,548","28,300","11,937","2,516","82"
"서울특별시 구로구 (1153000000)","382,652","382,652","19,102","26,772","45,057","61,836","54,141","59,616","57,860","39,615","16,349","2,261","43","186,790","186,790","9,831","13,521","21,461","31,537","27,675","29,705","27,478","18,001","6,912","663","6","195,862","195,862","9,271","13,251","23,596","30,299","26,466","29,911","30,382","21,614","9,437","1,598","37"
