region_name,region_type,event_name,tag_genre,tag_target,tag_price,match_score,match_reason
세종특별자치시,시설·행사 부족형,2026 세종한글축제,공연,일반·전문,무료·저비용,8.0,장르=공연; 가격=무료·저비용; 동일 시도
인천광역시 강화군,고령층 교통취약형,강화별밤야행,체험·교육,일반·전문,무료·저비용,12.0,가격=무료·저비용; 장르=체험·교육; 시간대=종일; 동일 시군구
전라남도 강진군,고령층 교통취약형,제4회 강진 수국길 축제,체험·교육,일반·전문,무료·저비용,12.0,가격=무료·저비용; 장르=체험·교육; 시간대=종일; 동일 시군구
경기도 용인시 수지구,시설·행사 부족형,2026 수원재즈페스티벌,공연,일반·전문,무료·저비용,10.5,장르=공연; 가격=무료·저비용; 시간대=종일; 동일 시도
전라남도 장흥군,고령층 교통취약형,제19회 정남진 장흥 물축제,체험·교육,일반·전문,무료·저비용,12.0,가격=무료·저비용; 장르=체험·교육; 시간대=종일; 동일 시군구
전라남도 완도군,고령층 교통취약형,2026 청정완도 가을 섬 여행,체험·교육,일반·전문,무료·저비용,12.0,가격=무료·저비용; 장르=체험·교육; 시간대=종일; 동일 시군구
전북특별자치도 군산시,고령층 교통취약형,제5회 군산짬뽕페스티벌,공연,일반·전문,무료·저비용,14.0,가격=무료·저비용; 장르=공연; 시간대=종일; 동일 시군구
경상북도 청도군,고령층 교통취약형,청도반시축제,공연,일반·전문,무료·저비용,14.0,가격=무료·저비용; 장르=공연; 시간대=종일; 동일 시군구
서울특별시 양천구,시설·행사 부족형,늘근도둑이야기,공연,일반·전문,유료,8.0,장르=공연; 동일 시도 (16.1km)
대구광역시 달성군,시설·행사 부족형,대구생활문화제,공연,일반·전문,무료·저비용,10.5,장르=공연; 가격=무료·저비용; 시간대=종일; 동일 시도
경기도 성남시 분당구,시설·행사 부족형,2026 수원화성 미디어아트,공연,일반·전문,무료·저비용,8.0,장르=공연; 가격=무료·저비용; 동일 시도
경상남도 창원시 마산합포구,고령층 교통취약형,제75회 개천예술제,공연,일반·전문,무료·저비용,11.5,가격=무료·저비용; 시간대=주간; 장르=공연; 동일 시도
인천광역시 옹진군,고령층 교통취약형,주섬주섬 음악회,공연,일반·전문,무료·저비용,14.0,가격=무료·저비용; 장르=공연; 시간대=종일; 동일 시군구
